Time,Amplitude
0,0
0.004,0
0.008,0
0.012,0
0.016,0
0.02,0
0.024,0
0.028,0
0.032,0
0.036000000000000004,0
0.04,0
0.044,0
0.048,0
0.052,0
0.056,0
0.060000000000000005,0
0.064,0
0.068,0
0.07200000000000001,0
0.076,0
0.08,0
0.08399999999999999,0
0.088,0
0.092,0
0.096,0
0.1,0
0.104,0
0.108,0
0.112,0
0.116,0
0.12000000000000001,0
0.124,0
0.128,0
0.132,0
0.136,0
0.13999999999999999,0
0.14400000000000002,0
0.148,0
0.152,0
0.156,0
0.16,0
0.164,0
0.16799999999999998,0
0.17200000000000001,0
0.176,0
0.18000000000000002,0
0.184,0
0.188,0
0.192,0
0.196,0
0.2,0
0.204,0
0.208,0
0.212,0
0.216,0
0.22,0
0.224,0
0.228,0
0.232,0
0.236,0
0.24000000000000002,0
0.244,0
0.248,0
0.252,0
0.256,0
0.25999999999999995,0
0.264,0
0.268,0
0.272,0
0.27599999999999997,0
0.27999999999999997,0
0.28400000000000003,0
0.28800000000000003,0
0.292,0
0.296,0
0.3,0
0.304,0
0.308,0
0.312,0
0.316,0
0.32,0
0.324,0
0.328,0
0.332,0
0.33599999999999997,0
0.34,0
0.34400000000000003,0
0.348,0
0.352,0
0.356,0
0.36000000000000004,0
0.364,0
0.368,0
0.372,0
0.376,0
0.38,0
0.384,0
0.388,0
0.392,0
0.39599999999999996,0
0.4,0
0.404,0
0.408,0
0.412,0
0.416,0
0.42000000000000004,0
0.424,0
0.428,0
0.432,0
0.43600000000000005,0
0.44,0
0.444,0
0.448,0
0.45199999999999996,0
0.456,0
0.46,0
0.464,0
0.46799999999999997,0
0.472,0
0.47600000000000003,0
0.48000000000000004,0
0.484,0
0.488,0
0.49200000000000005,0
0.496,0
0.5,0
0.504,0
0.508,0
0.512,0
0.516,0
0.5199999999999999,0
0.524,0
0.528,0
0.532,0
0.536,0
0.54,0
0.544,0
0.5479999999999999,0
0.5519999999999999,0
0.5559999999999999,0
0.5599999999999999,0
0.5640000000000001,0
0.5680000000000001,0
0.5720000000000001,0
0.5760000000000001,0
0.58,0
0.584,0
0.588,0
0.592,0
0.596,0
0.6,0
0.6040000000000001,0
0.608,0
0.612,0
0.616,0
0.62,0
0.624,0
0.628,0
0.632,0
0.636,0
0.64,0
0.644,0
0.648,0
0.652,0
0.656,0
0.66,0
0.664,0
0.6679999999999999,0
0.6719999999999999,0
0.6759999999999999,0
0.68,0
0.684,0
0.6880000000000001,0
0.6920000000000001,0
0.696,0
0.7,0
0.704,0
0.708,0
0.712,0
0.716,0
0.7200000000000001,0
0.7240000000000001,0
0.728,0
0.732,0
0.736,0
0.74,0
0.744,0
0.748,0
0.752,0
0.756,0
0.76,0
0.764,0
0.768,0
0.772,0
0.776,0
0.78,0
0.784,0
0.7879999999999999,0
0.7919999999999999,0
0.796,0
0.8,0
0.804,0
0.808,0
0.812,0
0.816,0
0.82,0
0.824,0
0.828,0
0.832,0
0.8360000000000001,0
0.8400000000000001,0
0.844,0
0.848,0
0.852,0
0.856,0
0.86,0
0.864,0
0.868,0
0.8720000000000001,0
0.876,0
0.88,0
0.884,0
0.888,0
0.892,0
0.896,0
0.9,0
0.9039999999999999,0
0.9079999999999999,0
0.912,0
0.916,0
0.92,0
0.924,0
0.928,0
0.9319999999999999,0
0.9359999999999999,0
0.94,0
0.944,0
0.948,0
0.9520000000000001,0
0.9560000000000001,0
0.9600000000000001,0
0.964,0
0.968,0
0.972,0
0.976,0
0.98,0
0.9840000000000001,0
0.988,0
0.992,0
0.9959999999999999,0
1,0
